well,include,strain,isolate,Day
A1,1,EV106,A,2
A2,1,EV106,A,2
A3,1,EV106,A,2
A4,1,EV106,A,2
A5,1,EV106,A,2
A6,1,EV106,A,2
A7,1,EV106,B,2
A8,1,EV106,B,2
A9,1,EV106,B,2
A10,1,EV106,B,2
A11,1,EV106,B,2
A12,1,EV106,B,2
B1,1,EV106,C,2
B2,1,EV106,C,2
B3,1,EV106,C,2
B4,1,EV106,C,2
B5,1,EV106,C,2
B6,1,EV106,C,2
B7,1,EV112,A,2
B8,1,EV112,A,2
B9,1,EV112,A,2
B10,1,EV112,A,2
B11,1,EV112,A,2
B12,1,EV112,A,2
C1,1,EV112,B,2
C2,1,EV112,B,2
C3,1,EV112,B,2
C4,1,EV112,B,2
C5,1,EV112,B,2
C6,1,EV112,B,2
C7,1,EV112,C,2
C8,1,EV112,C,2
C9,1,EV112,C,2
C10,1,EV112,C,2
C11,1,EV112,C,2
C12,1,EV112,C,2
D1,1,EV373,A,2
D2,1,EV373,A,2
D3,1,EV373,A,2
D4,1,EV373,A,2
D5,1,EV373,A,2
D6,1,EV373,A,2
D7,1,EV373,B,2
D8,1,EV373,B,2
D9,1,EV373,B,2
D10,1,EV373,B,2
D11,1,EV373,B,2
D12,1,EV373,B,2
E1,1,EV373,C,2
E2,1,EV373,C,2
E3,1,EV373,C,2
E4,1,EV373,C,2
E5,1,EV373,C,2
E6,1,EV373,C,2
E7,1,EV109,A,2
E8,1,EV109,A,2
E9,1,EV109,A,2
E10,1,EV109,A,2
E11,1,EV109,A,2
E12,1,EV109,A,2
F1,1,EV109,B,2
F2,1,EV109,B,2
F3,1,EV109,B,2
F4,1,EV109,B,2
F5,1,EV109,B,2
F6,1,EV109,B,2
F7,1,EV109,C,2
F8,1,EV109,C,2
F9,1,EV109,C,2
F10,1,EV109,C,2
F11,1,EV109,C,2
F12,1,EV109,C,2
G1,1,EV127,A,2
G2,1,EV127,A,2
G3,1,EV127,A,2
G4,1,EV127,A,2
G5,1,EV127,A,2
G6,1,EV127,A,2
G7,1,EV127,B,2
G8,1,EV127,B,2
G9,1,EV127,B,2
G10,1,EV127,B,2
G11,1,EV127,B,2
G12,1,EV127,B,2
H1,1,blank,,2
H2,1,blank,,2
H3,1,EV127,C,2
H4,1,EV127,C,2
H5,1,EV127,C,2
H6,1,EV127,C,2
H7,1,EV127,C,2
H8,1,EV127,C,2
H9,1,blank,,2
H10,1,blank,,2
H11,1,blank,,2
H12,1,blank,,2
