well,include,strain,isolate,Day
A1,1,EV106,A,4
A2,1,EV106,A,4
A3,1,EV106,A,4
A4,1,EV106,A,4
A5,1,EV106,A,4
A6,1,EV106,A,4
A7,1,EV106,B,4
A8,1,EV106,B,4
A9,1,EV106,B,4
A10,1,EV106,B,4
A11,1,EV106,B,4
A12,1,EV106,B,4
B1,1,EV106,C,4
B2,1,EV106,C,4
B3,1,EV106,C,4
B4,1,EV106,C,4
B5,1,EV106,C,4
B6,1,EV106,C,4
B7,1,EV112,A,4
B8,1,EV112,A,4
B9,1,EV112,A,4
B10,1,EV112,A,4
B11,1,EV112,A,4
B12,1,EV112,A,4
C1,1,EV112,B,4
C2,1,EV112,B,4
C3,1,EV112,B,4
C4,1,EV112,B,4
C5,1,EV112,B,4
C6,1,EV112,B,4
C7,1,EV112,C,4
C8,1,EV112,C,4
C9,1,EV112,C,4
C10,1,EV112,C,4
C11,1,EV112,C,4
C12,1,EV112,C,4
D1,1,EV373,A,4
D2,1,EV373,A,4
D3,1,EV373,A,4
D4,1,EV373,A,4
D5,1,EV373,A,4
D6,1,EV373,A,4
D7,1,EV373,B,4
D8,1,EV373,B,4
D9,1,EV373,B,4
D10,1,EV373,B,4
D11,1,EV373,B,4
D12,1,EV373,B,4
E1,1,EV373,C,4
E2,1,EV373,C,4
E3,1,EV373,C,4
E4,1,EV373,C,4
E5,1,EV373,C,4
E6,1,EV373,C,4
E7,1,EV109,A,4
E8,1,EV109,A,4
E9,1,EV109,A,4
E10,1,EV109,A,4
E11,1,EV109,A,4
E12,1,EV109,A,4
F1,1,EV109,B,4
F2,1,EV109,B,4
F3,1,EV109,B,4
F4,1,EV109,B,4
F5,1,EV109,B,4
F6,1,EV109,B,4
F7,1,EV109,C,4
F8,1,EV109,C,4
F9,1,EV109,C,4
F10,1,EV109,C,4
F11,1,EV109,C,4
F12,1,EV109,C,4
G1,1,EV127,A,4
G2,1,EV127,A,4
G3,1,EV127,A,4
G4,1,EV127,A,4
G5,1,EV127,A,4
G6,1,EV127,A,4
G7,1,EV127,B,4
G8,1,EV127,B,4
G9,1,EV127,B,4
G10,1,EV127,B,4
G11,1,EV127,B,4
G12,1,EV127,B,4
H1,1,blank,,4
H2,1,blank,,4
H3,1,EV127,C,4
H4,1,EV127,C,4
H5,1,EV127,C,4
H6,1,EV127,C,4
H7,1,EV127,C,4
H8,1,EV127,C,4
H9,1,blank,,4
H10,1,blank,,4
H11,1,blank,,4
H12,1,blank,,4
