0s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.7056,0.601,0.5478,0.3428,0.4355,0.3826,0.3212,0.3026,0.2924,0.2909,0.365,0.3233,0.8029,0.6763,0.5718,0.4715,0.4072,0.4485,0.2506,0.3296,0.3254,0.3405,0.3458,0.3277,0.8105,0.5868,0.6427,0.4117,0.4327,0.4346,0.2741,0.3039,0.3218,0.3114,0.3853,0.3494,0.8099,0.7505,0.426,0.4572,0.6347,0.4984,0.3868,0.371,0.4032,0.3743,0.3925,0.2022,0.8052,0.5558,0.5407,0.4486,0.3456,0.4044,0.435,0.4105,0.4149,0.3742,0.3898,0.4463,0.61,0.6713,0.5647,0.5854,0.4711,0.4758,0.687,0.52,0.5164,0.4133,0.6023,0.3953,0.6236,0.4391,0.6256,0.5884,0.4997,0.4504,0.6348,0.4634,0.5239,0.3722,0.2492,0.3931
601s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.6558,0.5577,0.5371,0.3059,0.4176,0.3675,0.2877,0.2754,0.2633,0.2695,0.3524,0.355,0.7763,0.6865,0.5945,0.4905,0.3994,0.4931,0.2608,0.3314,0.3353,0.351,0.3596,0.3297,0.7733,0.5586,0.5951,0.3789,0.4088,0.4067,0.2443,0.2751,0.2959,0.292,0.3834,0.3549,0.7761,0.7161,0.4369,0.463,0.7199,0.5014,0.3549,0.3315,0.4459,0.3978,0.3953,0.1929,0.7543,0.5162,0.4996,0.4185,0.3286,0.3776,0.4147,0.3858,0.3958,0.3569,0.3769,0.4487,0.5773,0.6412,0.5603,0.5994,0.502,0.4696,0.6849,0.5134,0.4711,0.4027,0.5504,0.3908,0.5978,0.4237,0.5618,0.5536,0.4723,0.4309,0.5667,0.4463,0.5006,0.321,0.2278,0.3763
1201s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.612,0.5115,0.4751,0.2793,0.3566,0.3446,0.2672,0.2579,0.2412,0.2683,0.3778,0.3741,0.7194,0.6341,0.5423,0.4634,0.3658,0.4198,0.2639,0.321,0.3272,0.3755,0.3703,0.3435,0.7166,0.5053,0.5351,0.362,0.3757,0.3812,0.2312,0.2623,0.2849,0.3007,0.4061,0.3631,0.7265,0.6624,0.4056,0.4222,0.6538,0.4773,0.3412,0.3275,0.4404,0.4018,0.4065,0.1957,0.7044,0.4695,0.4704,0.3936,0.3195,0.3577,0.3939,0.3663,0.383,0.3399,0.3773,0.454,0.5512,0.5682,0.4748,0.5221,0.4299,0.4315,0.6482,0.4968,0.4496,0.394,0.5409,0.3935,0.5694,0.407,0.5186,0.5233,0.4527,0.432,0.5447,0.4294,0.4826,0.3062,0.2096,0.3592
1801s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.5644,0.4914,0.4468,0.2673,0.3409,0.3325,0.2649,0.243,0.2256,0.2534,0.349,0.3706,0.6661,0.5842,0.5115,0.4442,0.3398,0.419,0.2841,0.2983,0.3023,0.3583,0.3556,0.309,0.6703,0.4881,0.5016,0.3402,0.3613,0.3649,0.2212,0.2455,0.2712,0.2737,0.3754,0.335,0.6882,0.6207,0.3938,0.4166,0.6027,0.4545,0.3403,0.312,0.41,0.3883,0.4109,0.1979,0.6714,0.4315,0.4481,0.3713,0.3061,0.3308,0.367,0.3526,0.3671,0.3282,0.36,0.4511,0.5317,0.5478,0.4855,0.5087,0.4438,0.4343,0.652,0.4717,0.4177,0.3692,0.5237,0.3902,0.55,0.3881,0.4987,0.4912,0.4337,0.4206,0.5082,0.4,0.4623,0.2937,0.1976,0.3472
2401s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.5474,0.4718,0.4235,0.2605,0.3251,0.3328,0.2711,0.2402,0.2309,0.2647,0.3797,0.3727,0.6268,0.4951,0.4561,0.4218,0.317,0.3399,0.2481,0.2837,0.2854,0.3547,0.3595,0.3301,0.6126,0.4704,0.4714,0.3215,0.3455,0.3548,0.2229,0.2372,0.2631,0.2873,0.3914,0.3359,0.6446,0.5653,0.3615,0.3618,0.5097,0.3872,0.3011,0.3007,0.3998,0.3629,0.4033,0.2069,0.6178,0.4055,0.429,0.3562,0.3006,0.3132,0.3482,0.3392,0.3561,0.3135,0.3499,0.4258,0.5121,0.4892,0.4294,0.4579,0.3955,0.3892,0.6018,0.4455,0.4046,0.3515,0.5074,0.3909,0.5317,0.3792,0.462,0.4665,0.4276,0.4057,0.4953,0.3708,0.4551,0.2801,0.1952,0.3398
3000s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.5188,0.4728,0.4006,0.2608,0.3026,0.3255,0.2732,0.2351,0.2234,0.2682,0.368,0.3558,0.601,0.4798,0.438,0.4183,0.3044,0.3243,0.2532,0.2736,0.2542,0.3159,0.3339,0.3176,0.5825,0.4583,0.4343,0.3082,0.3365,0.3446,0.224,0.2298,0.2544,0.2859,0.3779,0.3159,0.6193,0.5362,0.3531,0.3552,0.485,0.3768,0.2945,0.292,0.3832,0.3655,0.405,0.2132,0.5848,0.3883,0.4108,0.3467,0.2955,0.3039,0.3358,0.332,0.3513,0.3096,0.3459,0.4346,0.5024,0.4648,0.4133,0.4367,0.38,0.3656,0.5457,0.406,0.3878,0.3486,0.4893,0.3841,0.5015,0.369,0.4355,0.4373,0.418,0.391,0.4692,0.3672,0.411,0.2766,0.1817,0.3319
3601s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,3.968,Overflow,Overflow,Overflow,Overflow,0.5138,0.4631,0.3983,0.269,0.2934,0.335,0.2919,0.2403,0.2156,0.2723,0.351,0.353,0.5904,0.465,0.4303,0.4139,0.3026,0.3199,0.2673,0.2808,0.2569,0.3436,0.356,0.3388,0.5803,0.4371,0.4237,0.3005,0.334,0.3487,0.2496,0.2388,0.2605,0.301,0.3817,0.326,0.605,0.5178,0.3474,0.3486,0.4704,0.3662,0.2983,0.2923,0.3777,0.3595,0.3994,0.2196,0.5703,0.3769,0.3978,0.3491,0.2938,0.3045,0.3323,0.3326,0.351,0.3055,0.3379,0.4267,0.4935,0.4629,0.4258,0.4255,0.3925,0.3777,0.552,0.3972,0.386,0.347,0.4716,0.3687,0.4952,0.3687,0.4098,0.4314,0.4155,0.3835,0.449,0.3506,0.4145,0.2739,0.1849,0.3201
4201s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.4994,0.4596,0.3962,0.2793,0.2816,0.34,0.2902,0.2339,0.208,0.2901,0.3536,0.3405,0.574,0.4488,0.4251,0.4188,0.3057,0.3164,0.2802,0.2853,0.2408,0.3156,0.336,0.316,0.5613,0.4442,0.4072,0.2993,0.3348,0.3541,0.2444,0.2323,0.2547,0.2991,0.3622,0.3062,0.5973,0.4916,0.3405,0.3366,0.4434,0.3469,0.2874,0.2835,0.3637,0.344,0.3955,0.231,0.561,0.3793,0.3849,0.3563,0.3035,0.3089,0.332,0.3346,0.3565,0.3104,0.3347,0.4298,0.4916,0.4545,0.4187,0.4051,0.3825,0.368,0.5119,0.3578,0.3696,0.3431,0.4641,0.3594,0.4908,0.3716,0.4086,0.4146,0.4061,0.3837,0.4321,0.3479,0.4093,0.2798,0.1884,0.3216
4800s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.4755,0.4685,0.3899,0.2813,0.2747,0.3566,0.3057,0.2405,0.2113,0.3088,0.3627,0.3341,0.5491,0.4354,0.4181,0.4229,0.3076,0.3121,0.2931,0.2927,0.2402,0.2934,0.3291,0.3165,0.5362,0.4495,0.4007,0.3014,0.3445,0.3638,0.2605,0.2361,0.2676,0.3143,0.3618,0.2978,0.5885,0.4869,0.3392,0.3521,0.455,0.3581,0.2985,0.2962,0.3918,0.3543,0.3798,0.2563,0.5449,0.3801,0.3812,0.3627,0.3111,0.3181,0.3316,0.3461,0.3657,0.3252,0.3432,0.4637,0.4865,0.4412,0.4157,0.3894,0.376,0.3709,0.5003,0.3554,0.3816,0.36,0.4592,0.3744,0.4804,0.3742,0.395,0.4288,0.4075,0.3784,0.4228,0.3475,0.412,0.29,0.1984,0.336
5400s,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,Overflow,0.4598,0.4831,0.39,0.2855,0.2782,0.3802,0.3245,0.2442,0.2123,0.3275,0.3668,0.3282,0.5352,0.4317,0.416,0.4346,0.3169,0.3248,0.3179,0.3109,0.255,0.3216,0.3695,0.3524,0.5591,0.4577,0.3994,0.3068,0.3546,0.3775,0.2914,0.257,0.2894,0.3387,0.3725,0.3084,0.5974,0.4692,0.3383,0.3514,0.4556,0.3541,0.2997,0.3007,0.3949,0.3394,0.3701,0.2729,0.5451,0.3927,0.3809,0.3801,0.3325,0.3354,0.342,0.3581,0.3796,0.3415,0.3497,0.4692,0.4875,0.4466,0.4327,0.379,0.3861,0.3813,0.4914,0.3404,0.3798,0.3544,0.4492,0.3629,0.472,0.3826,0.3954,0.4194,0.4137,0.3802,0.4192,0.3506,0.4239,0.3011,0.2053,0.3314
