well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB295,,
A3,1,BB297,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB295,,
A7,1,BB297,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB295,,
A11,1,BB297,,
A12,1,blank,,
B1,1,BB299,,
B2,1,BB300,,
B3,1,BB301,,
B4,1,BB302,,
B5,1,BB299,,
B6,1,BB300,,
B7,1,BB301,,
B8,1,BB302,,
B9,1,BB299,,
B10,1,BB300,,
B11,1,BB301,,
B12,1,BB302,,
C1,1,BB303,,
C2,1,BB304,,
C3,1,BB305,,
C4,1,BB306,,
C5,1,BB303,,
C6,1,BB304,,
C7,1,BB305,,
C8,1,BB306,,
C9,1,BB303,,
C10,1,BB304,,
C11,1,BB305,,
C12,1,BB306,,
D1,1,BB307,,
D2,1,BB308,,
D3,1,BB309,,
D4,1,BB310,,
D5,1,BB307,,
D6,1,BB308,,
D7,1,BB309,,
D8,1,BB310,,
D9,1,BB307,,
D10,1,BB308,,
D11,1,BB309,,
D12,1,BB310,,
E1,1,BB311,,
E2,1,BB312,,
E3,1,BB313,,
E4,1,BB314,,
E5,1,BB311,,
E6,1,BB312,,
E7,1,BB313,,
E8,1,BB314,,
E9,1,BB311,,
E10,1,BB312,,
E11,1,BB313,,
E12,1,BB314,,
F1,1,BB315,,
F2,1,BB317,,
F3,1,BB318,,
F4,1,BB320,,
F5,1,BB315,,
F6,1,BB317,,
F7,1,BB318,,
F8,1,BB320,,
F9,1,BB315,,
F10,1,BB317,,
F11,1,BB318,,
F12,1,BB320,,
G1,1,BB322,,
G2,1,JEB1204,,
G3,1,JEB1205,,
G4,1,JEB1206,,
G5,1,BB322,,
G6,1,JEB1204,,
G7,1,JEB1205,,
G8,1,JEB1206,,
G9,1,BB322,,
G10,1,JEB1204,,
G11,1,JEB1205,,
G12,1,JEB1206,,
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,
