well,include,strain,isolate,description
A1,1,blank ,,
A2,1,BB205,N1,
A3,1,BB206,N2,
A4,1,BB208,N3,
A5,1,blank,,
A6,1,BB205,N1,
A7,1,BB206,N2,
A8,1,BB208,N3,
A9,1,blank,,
A10,1,BB205,N1,
A11,1,BB206,N2,
A12,1,blank,,
B1,0,nil,N,loading error - omit
B2,0,nil,N,loading error - omit
B3,0,nil,N,loading error - omit
B4,0,nil,N,loading error - omit
B5,0,nil,N,loading error - omit
B6,0,nil,N,loading error - omit
B7,0,nil,N,loading error - omit
B8,1,blank,,
B9,1,blank,,
B10,1,blank,,
B11,1,blank,,
B12,1,blank,,
C1,1,BB208,N3,
C2,1,BB209,N4,
C3,1,BB210,N5,
C4,1,BB211,N6,
C5,1,BB208,N3,
C6,1,BB209,N4,
C7,1,BB210,N5,
C8,1,BB211,N6,
C9,1,BB208,N3,
C10,1,BB209,N4,
C11,1,BB210,N5,
C12,1,BB211,N6,
D1,1,BB213,N7,
D2,1,BB214,N8,
D3,1,BB218,N9,
D4,1,BB219,N10,GFP - ignore
D5,1,BB213,N7,
D6,1,BB214,N8,
D7,1,BB218,N9,
D8,1,BB219,N10,GFP - ignore
D9,1,BB213,N7,
D10,1,BB214,N8,
D11,1,BB218,N9,
D12,1,BB219,N10,GFP - ignore
E1,1,BB220,N11,
E2,1,BB223,N12,
E3,1,BB225,N13,
E4,1,BB228,N14,
E5,1,BB220,N11,
E6,1,BB223,N12,
E7,1,BB225,N13,
E8,1,BB228,N14,
E9,1,BB220,N11,
E10,1,BB223,N12,
E11,1,BB225,N13,
E12,1,BB228,N14,
F1,1,JEB1204,S1,
F2,1,JEB1205,S2,
F3,1,JEB1206,S3,
F4,1,JEB1207,S4,
F5,1,JEB1204,S1,
F6,1,JEB1205,S2,
F7,1,JEB1206,S3,
F8,1,JEB1207,S4,
F9,1,JEB1204,S1,
F10,1,JEB1205,S2,
F11,1,JEB1206,S3,
F12,1,JEB1207,S4,
G1,1,JEB1208,S5,
G2,1,blank,,
G3,1,blank,,
G4,1,blank,,
G5,1,JEB1208,S5,
G6,1,blank,,
G7,1,blank,,
G8,1,blank,,
G9,1,JEB1208,S5,
G10,1,blank,,
G11,1,blank,,
G12,1,blank,,
H1,1,blank,,
H2,1,blank,,
H3,1,blank,,
H4,1,blank,,
H5,1,blank,,
H6,1,blank,,
H7,1,blank,,
H8,1,blank,,
H9,1,blank,,
H10,1,blank,,
H11,1,blank,,
H12,1,blank,,
