well,include,strain,isolate,description
A1,1,blank,B, 
A2,1,BB117,J1,
A3,1,BB118,J2,
A4,1,BB119,J3,
A5,1,blank,B,
A6,1,BB117,J1,
A7,1,BB118,J2,
A8,1,BB119,J3,
A9,1,blank,B,
A10,1,BB117,J1,
A11,1,BB118,J2,
A12,1,blank,B,
B1,1,BB119,J3,
B2,1,BB120,J4,
B3,1,BB121,J5,
B4,1,BB123,J6,
B5,1,BB119,J3,
B6,1,BB120,J4,
B7,1,BB121,J5,
B8,1,BB123,J6,
B9,1,BB119,J3,
B10,1,BB120,J4,
B11,1,BB121,J5,
B12,1,BB123,J6,
C1,1,BB124,J7,
C2,1,BB117,J1,
C3,1,BB118,J2,
C4,1,BB119,J3,
C5,1,BB124,J7,
C6,1,BB117,J1,
C7,1,BB118,J2,
C8,1,BB119,J3,
C9,1,BB124,J7,
C10,1,BB117,J1,
C11,1,BB118,J2,
C12,1,BB119,J3,
D1,1,BB120,J4,
D2,1,BB121,J5,
D3,1,BB123,J6,
D4,1,BB124,J7,
D5,1,BB120,J4,
D6,1,BB121,J5,
D7,1,BB123,J6,
D8,1,BB124,J7,
D9,1,BB120,J4,
D10,1,BB121,J5,
D11,1,BB123,J6,
D12,1,BB124,J7,
E1,1,JEB1204,S1,
E2,1,JEB1205,S2,
E3,1,JEB1206,S3,
E4,1,JEB1207,S4,
E5,1,JEB1204,S1,
E6,1,JEB1205,S2,
E7,1,JEB1206,S3,
E8,1,JEB1207,S4,
E9,1,JEB1204,S1,
E10,1,JEB1205,S2,
E11,1,JEB1206,S3,
E12,1,JEB1207,S4,
F1,1,JEB1208,S5,
F2,1,BB85,N1,
F3,1,BB86,N2,
F4,1,BB87,N3,
F5,1,JEB1208,S5,
F6,1,BB85,N1,
F7,1,BB86,N2,
F8,1,BB87,N3,
F9,1,JEB1208,S5,
F10,1,BB85,N1,
F11,1,BB86,N2,
F12,1,BB87,N3,
G1,1,BB89,N4,
G2,1,BB90,N5,
G3,1,BB85,N1,
G4,1,BB86,N2,
G5,1,BB89,N4,
G6,1,BB90,N5,
G7,1,BB85,N1,
G8,1,BB86,N2,
G9,1,BB89,N4,
G10,1,BB90,N5,
G11,1,BB85,N1,
G12,1,BB86,N2,
H1,1,blank,B,
H2,1,BB87,N3,
H3,1,BB89,N4,
H4,1,blank,B,
H5,1,blank,B,
H6,1,BB87,N3,
H7,1,BB89,N4,
H8,1,blank,B,
H9,1,blank,B,
H10,1,BB87,N3,
H11,1,BB89,N4,
H12,1,blank,B,
