well,include,strain,isolate,description
A1,1,blank,, 
A2,1,BB21,,
A3,1,BB72,,
A4,1,JEB1204,,
A5,1,blank,,
A6,1,BB21,,
A7,1,BB72,,
A8,1,JEB1204,,
A9,1,blank,,
A10,1,BB21,,
A11,1,BB72,,
A12,1,JEB1204,,
B1,1,BB22,,
B2,1,blank,,
B3,1,BB73,,
B4,1,JEB1205,,
B5,1,BB22,,
B6,1,blank,,
B7,1,BB73,,
B8,1,JEB1205,,
B9,1,BB22,,
B10,1,blank,,
B11,1,BB73,,
B12,1,JEB1205,,
C1,0,LB,,
C2,0,LB,,
C3,0,LB,,
C4,0,LB,,
C5,0,LB,,
C6,0,LB,,
C7,0,LB,,
C8,0,LB,,
C9,0,LB,,
C10,0,LB,,
C11,0,LB,,
C12,0,LB,,
D1,1,BB74,,
D2,0,N,,
D3,1,JEB1206,,
D4,1,BB75,,
D5,1,BB74,,
D6,0,N,,
D7,1,JEB1206,,
D8,1,BB75,,
D9,1,BB74,,
D10,0,N,,
D11,1,JEB1206,,
D12,1,BB75,,
E1,0,BB24,,well is blank
E2,1,BB23,,
E3,1,JEB1207,,
E4,1,BB19,,
E5,1,BB24,,
E6,1,BB23,,
E7,1,JEB1207,,
E8,1,BB19,,
E9,1,BB24,,
E10,1,BB23,,
E11,1,JEB1207,,
E12,1,BB19,,
F1,1,JEB1208,,
F2,1,BB25,,
F3,1,BB80,,
F4,1,BB81,,
F5,1,JEB1208,,
F6,1,BB25,,
F7,1,BB80,,
F8,1,BB81,,
F9,1,JEB1208,,
F10,1,BB25,,
F11,1,BB80,,
F12,1,BB81,,
G1,1,blank,,
G2,1,BB82,,
G3,1,BB83,,
G4,1,blank,,
G5,1,blank,,
G6,1,BB82,,
G7,1,BB83,,
G8,1,blank,,
G9,1,blank,,
G10,1,BB82,,
G11,1,BB83,,
G12,1,blank,,
H1,1,blank,,
H2,1,BB23,,
H3,1,BB24,,
H4,1,blank,,
H5,1,blank,,
H6,1,BB23,,
H7,1,BB24,,
H8,1,blank,,
H9,1,blank,,
H10,1,BB23,,
H11,1,BB24,,
H12,1,blank,,
