well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB289,,
A3,1,BB290,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB289,,
A7,1,BB290,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB289,,
A11,1,BB290,,
A12,1,blank,,
B1,1,BB292,,
B2,1,BB313,,
B3,1,BB312,,
B4,1,BB315,,
B5,1,BB292,,
B6,1,BB313,,
B7,1,BB312,,
B8,1,BB315,,
B9,1,BB292,,
B10,1,BB313,,
B11,1,BB312,,
B12,1,BB315,,
C1,1,BB314,,
C2,1,BB347,,
C3,1,BB343,,
C4,1,BB373,,
C5,1,BB314,,
C6,1,BB347,,
C7,1,BB343,,
C8,1,BB373,,
C9,1,BB314,,
C10,1,BB347,,
C11,1,BB343,,
C12,1,BB373,,
D1,1,BB311,,
D2,1,BB310,,
D3,1,BB309,,
D4,1,BB308,,
D5,1,BB311,,
D6,1,BB310,,
D7,1,BB309,,
D8,1,BB308,,
D9,1,BB311,,
D10,1,BB310,,
D11,1,BB309,,
D12,1,BB308,,
E1,1,BB307,,
E2,1,BB306,,
E3,1,BB305,,
E4,1,BB304,,
E5,1,BB307,,
E6,1,BB306,,
E7,1,BB305,,
E8,1,BB304,,
E9,1,BB307,,
E10,1,BB306,,
E11,1,BB305,,
E12,1,BB304,,
F1,1,BB302,,
F2,1,BB300,,
F3,1,BB348,,
F4,1,BB374,,
F5,1,BB302,,
F6,1,BB300,,
F7,1,BB348,,
F8,1,BB374,,
F9,1,BB302,,
F10,1,BB300,,
F11,1,BB348,,
F12,1,BB374,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,JEB1208,,
H3,1,BB375,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1208,,
H7,1,BB375,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1208,,
H11,1,BB375,,
H12,1,blank,,
