well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB251,,
A3,1,BB252,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB251,,
A7,1,BB252,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB251,,
A11,1,BB252,,
A12,1,blank,,
B1,1,BB255,,
B2,1,BB256,,
B3,1,BB258,,
B4,1,BB259,,
B5,1,BB255,,
B6,1,BB256,,
B7,1,BB258,,
B8,1,BB259,,
B9,1,BB255,,
B10,1,BB256,,
B11,1,BB258,,
B12,1,BB259,,
C1,1,BB260,,
C2,1,BB261,,
C3,1,BB262,,
C4,1,BB263,,
C5,1,BB260,,
C6,1,BB261,,
C7,1,BB262,,
C8,1,BB263,,
C9,1,BB260,,
C10,1,BB261,,
C11,1,BB262,,
C12,1,BB263,,
D1,1,BB264,,
D2,1,BB265,,
D3,1,BB266,,
D4,1,BB267,,
D5,1,BB264,,
D6,1,BB265,,
D7,1,BB266,,
D8,1,BB267,,
D9,1,BB264,,
D10,1,BB265,,
D11,1,BB266,,
D12,1,BB267,,
E1,1,BB268,,
E2,1,BB269,,
E3,1,BB294,,
E4,1,BB296,,
E5,1,BB268,,
E6,1,BB269,,
E7,1,BB294,,
E8,1,BB296,,
E9,1,BB268,,
E10,1,BB269,,
E11,1,BB294,,
E12,1,BB296,,
F1,1,BB298,,
F2,1,BB426,,
F3,1,BB589,,
F4,1,BB590,,
F5,1,BB298,,
F6,1,BB426,,
F7,1,BB589,,
F8,1,BB590,,
F9,1,BB298,,
F10,1,BB426,,
F11,1,BB589,,
F12,1,BB590,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,JEB1208,,
H3,1,JEB1204,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1208,,
H7,1,JEB1204,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1208,,
H11,1,JEB1204,,
H12,1,blank,,
