well,include,strain,isolate,description
A1,1,blank,B,
A2,1,BB324,N1,
A3,1,BB330,N2,
A4,1,blank,B,
A5,1,blank,B,
A6,1,BB324,N1,
A7,1,BB330,N2,
A8,1,blank,B,
A9,1,blank,B,
A10,1,BB324,N1,
A11,1,BB330,N2,
A12,1,blank,B,
B1,1,BB348,N3,
B2,1,BB342,N4,
B3,1,BB325,N5,
B4,1,BB326,N6,
B5,1,BB348,N3,
B6,1,BB342,N4,
B7,1,BB325,N5,
B8,1,BB326,N6,
B9,1,BB348,N3,
B10,1,BB342,N4,
B11,1,BB325,N5,
B12,1,BB326,N6,
C1,1,BB217,N7,
C2,1,BB341,N8,
C3,1,BB331,N9,
C4,1,BB216,N10,
C5,1,BB217,N7,
C6,1,BB341,N8,
C7,1,BB331,N9,
C8,1,BB216,N10,
C9,1,BB217,N7,
C10,1,BB341,N8,
C11,1,BB331,N9,
C12,1,BB216,N10,
D1,1,BB322,N11,
D2,1,BB318,N12,
D3,1,BB204,N13,
D4,1,BB317,N14,
D5,1,BB322,N11,
D6,1,BB318,N12,
D7,1,BB204,N13,
D8,1,BB317,N14,
D9,1,BB322,N11,
D10,1,BB318,N12,
D11,1,BB204,N13,
D12,1,BB317,N14,
E1,1,BB320,N15,
E2,1,BB327,N16,
E3,1,BB328,N17,
E4,1,BB329,N18,
E5,1,BB320,N15,
E6,1,BB327,N16,
E7,1,BB328,N17,
E8,1,BB329,N18,
E9,1,BB320,N15,
E10,1,BB327,N16,
E11,1,BB328,N17,
E12,1,BB329,N18,
F1,1,blank,B,
F2,1,JEB1208,S1,
F3,1,BB337,N19,
F4,1,blank,B,
F5,1,blank,B,
F6,1,JEB1208,S1,
F7,1,BB337,N19,
F8,1,blank,B,
F9,1,blank,B,
F10,1,JEB1208,S1,
F11,1,BB337,N19,
F12,1,blank,B,
G1,1,JEB1204,S2,
G2,1,JEB1205,S3,
G3,1,JEB1206,S4,
G4,1,JEB1207,S5,
G5,1,JEB1204,S2,
G6,1,JEB1205,S3,
G7,1,JEB1206,S4,
G8,1,JEB1207,S5,
G9,1,JEB1204,S2,
G10,1,JEB1205,S3,
G11,1,JEB1206,S4,
G12,1,JEB1207,S5,
H1,1,blank,B,
H2,1,JEB1208,S1,
H3,1,BB337,N19,
H4,1,blank,B,
H5,1,blank,B,
H6,1,JEB1208,S1,
H7,1,BB337,N19,
H8,1,blank,B,
H9,1,blank,B,
H10,1,JEB1208,S1,
H11,1,BB337,N19,
H12,1,blank,B,
