well,include,strain,isolate,description
A1,1,blank,, 
A2,1,BB21,N1,
A3,1,BB72,J1,
A4,1,JEB1204,S1,
A5,1,blank,,
A6,1,BB21,N1,
A7,1,BB72,J1,
A8,1,JEB1204,S1,
A9,1,blank,,
A10,1,BB21,N1,
A11,1,BB72,J1,
A12,1,JEB1204,S1,
B1,1,BB22,N2,
B2,1,blank,,
B3,1,BB73,J2,
B4,1,JEB1205,S2,
B5,1,BB22,N2,
B6,1,blank,,
B7,1,BB73,J2,
B8,1,JEB1205,S2,
B9,1,BB22,N2,
B10,1,blank,,
B11,1,BB73,J2,
B12,1,JEB1205,S2,
C1,0,LB,,
C2,0,LB,,
C3,0,LB,,
C4,0,LB,,
C5,0,LB,,
C6,0,LB,,
C7,0,LB,,
C8,0,LB,,
C9,0,LB,,
C10,0,LB,,
C11,0,LB,,
C12,0,LB,,
D1,1,BB74,J3,
D2,0,N,,
D3,1,JEB1206,S3,
D4,1,BB75,J4,
D5,1,BB74,J3,
D6,0,N,,
D7,1,JEB1206,S3,
D8,1,BB75,J4,
D9,1,BB74,J3,
D10,0,N,,
D11,1,JEB1206,S3,
D12,1,BB75,J4,
E1,1,BB24,N4,
E2,1,BB23,N3,
E3,1,JEB1207,S4,
E4,1,BB19,J5,
E5,1,BB24,N4,
E6,1,BB23,N3,
E7,1,JEB1207,S4,
E8,1,BB19,J5,
E9,1,BB24,N4,
E10,1,BB23,N3,
E11,1,JEB1207,S4,
E12,1,BB19,J5,
F1,1,JEB1208,S5,
F2,1,BB25,N5,
F3,1,BB80,J6,
F4,1,BB81,J7,
F5,1,JEB1208,S5,
F6,1,BB25,N5,
F7,1,BB80,J6,
F8,1,BB81,J7,
F9,1,JEB1208,S5,
F10,1,BB25,N5,
F11,1,BB80,J6,
F12,1,BB81,J7,
G1,1,blank,,
G2,1,BB82,J8,
G3,1,BB83,J9,
G4,1,blank,,
G5,1,blank,,
G6,1,BB82,J8,
G7,1,BB83,J9,
G8,1,blank,,
G9,1,blank,,
G10,1,BB82,J8,
G11,1,BB83,J9,
G12,1,blank,,
H1,1,blank,,
H2,1,BB23,N3,
H3,1,BB24,N4,
H4,1,blank,,
H5,1,blank,,
H6,1,BB23,N3,
H7,1,BB24,N4,
H8,1,blank,,
H9,1,blank,,
H10,1,BB23,N3,
H11,1,BB24,N4,
H12,1,blank,,
