well ,include,strain,isolate,description
A1,1,blank,,
A2,1,blank,,
A3,1,BB392,,
A4,1,blank,,
A5,1,blank,,
A6,1,blank,,
A7,1,BB392,,
A8,1,blank,,
A9,1,blank,,
A10,1,blank,,
A11,1,BB392,,
A12,1,blank,,
B1,1,blank,,
B2,1,blank,,
B3,1,BB395,,
B4,1,BB396,,
B5,1,blank,,
B6,1,blank,,
B7,1,BB395,,
B8,1,BB396,,
B9,1,blank,,
B10,1,blank,,
B11,1,BB395,,
B12,1,BB396,,
C1,1,BB397,,
C2,1,BB399,,
C3,1,BB400,,
C4,1,BB401,,
C5,1,BB397,,
C6,1,BB399,,
C7,1,BB400,,
C8,1,BB401,,
C9,1,BB397,,
C10,1,BB399,,
C11,1,BB400,,
C12,1,BB401,,
D1,1,BB402,,
D2,1,BB403,,
D3,1,BB404,,
D4,1,BB405,,
D5,1,BB402,,
D6,1,BB403,,
D7,1,BB404,,
D8,1,BB405,,
D9,1,BB402,,
D10,1,BB403,,
D11,1,BB404,,
D12,1,BB405,,
E1,1,BB418,,
E2,1,BB419,,
E3,1,BB420,,
E4,1,BB421,,
E5,1,BB418,,
E6,1,BB419,,
E7,1,BB420,,
E8,1,BB421,,
E9,1,BB418,,
E10,1,BB419,,
E11,1,BB420,,
E12,1,BB421,,
F1,1,BB422,,
F2,1,BB423,,
F3,1,BB424,,
F4,1,BB425,,
F5,1,BB422,,
F6,1,BB423,,
F7,1,BB424,,
F8,1,BB425,,
F9,1,BB422,,
F10,1,BB423,,
F11,1,BB424,,
F12,1,BB425,,
G1,1,blank,,
G2,1,JEB1204,,
G3,1,JEB1205,,
G4,1,JEB1206,,
G5,1,blank,,
G6,1,JEB1204,,
G7,1,JEB1205,,
G8,1,JEB1206,,
G9,1,blank,,
G10,1,JEB1204,,
G11,1,JEB1205,,
G12,1,JEB1206,,
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,
