well,include,strain,isolate,Day
A1,1,EV106,A,3
A2,1,EV106,A,3
A3,1,EV106,A,3
A4,1,EV106,A,3
A5,1,EV106,A,3
A6,1,EV106,A,3
A7,1,EV106,B,3
A8,1,EV106,B,3
A9,1,EV106,B,3
A10,1,EV106,B,3
A11,1,EV106,B,3
A12,1,EV106,B,3
B1,1,EV106,C,3
B2,1,EV106,C,3
B3,1,EV106,C,3
B4,1,EV106,C,3
B5,1,EV106,C,3
B6,1,EV106,C,3
B7,1,EV112,A,3
B8,1,EV112,A,3
B9,1,EV112,A,3
B10,1,EV112,A,3
B11,1,EV112,A,3
B12,1,EV112,A,3
C1,1,EV112,B,3
C2,1,EV112,B,3
C3,1,EV112,B,3
C4,1,EV112,B,3
C5,1,EV112,B,3
C6,1,EV112,B,3
C7,1,EV112,C,3
C8,1,EV112,C,3
C9,1,EV112,C,3
C10,1,EV112,C,3
C11,1,EV112,C,3
C12,1,EV112,C,3
D1,1,EV373,A,3
D2,1,EV373,A,3
D3,1,EV373,A,3
D4,1,EV373,A,3
D5,1,EV373,A,3
D6,1,EV373,A,3
D7,1,EV373,B,3
D8,1,EV373,B,3
D9,1,EV373,B,3
D10,1,EV373,B,3
D11,1,EV373,B,3
D12,1,EV373,B,3
E1,1,EV373,C,3
E2,1,EV373,C,3
E3,1,EV373,C,3
E4,1,EV373,C,3
E5,1,EV373,C,3
E6,1,EV373,C,3
E7,1,EV109,A,3
E8,1,EV109,A,3
E9,1,EV109,A,3
E10,1,EV109,A,3
E11,1,EV109,A,3
E12,1,EV109,A,3
F1,1,EV109,B,3
F2,1,EV109,B,3
F3,1,EV109,B,3
F4,1,EV109,B,3
F5,1,EV109,B,3
F6,1,EV109,B,3
F7,1,EV109,C,3
F8,1,EV109,C,3
F9,1,EV109,C,3
F10,1,EV109,C,3
F11,1,EV109,C,3
F12,1,EV109,C,3
G1,1,EV127,A,3
G2,1,EV127,A,3
G3,1,EV127,A,3
G4,1,EV127,A,3
G5,1,EV127,A,3
G6,1,EV127,A,3
G7,1,EV127,B,3
G8,1,EV127,B,3
G9,1,EV127,B,3
G10,1,EV127,B,3
G11,1,EV127,B,3
G12,1,EV127,B,3
H1,1,blank,,3
H2,1,blank,,3
H3,1,EV127,C,3
H4,1,EV127,C,3
H5,1,EV127,C,3
H6,1,EV127,C,3
H7,1,EV127,C,3
H8,1,EV127,C,3
H9,1,blank,,3
H10,1,blank,,3
H11,1,blank,,3
H12,1,blank,,3
