well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB270,,
A3,1,BB349,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB270,,
A7,1,BB349,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB270,,
A11,1,BB349,,
A12,1,blank,,
B1,1,BB350,,
B2,1,BB351,,
B3,1,BB352,,
B4,1,BB353,,
B5,1,BB350,,
B6,1,BB351,,
B7,1,BB352,,
B8,1,BB353,,
B9,1,BB350,,
B10,1,BB351,,
B11,1,BB352,,
B12,1,BB353,,
C1,1,BB354,,
C2,1,BB356,,
C3,1,BB357,,
C4,1,BB359,,
C5,1,BB354,,
C6,1,BB356,,
C7,1,BB357,,
C8,1,BB359,,
C9,1,BB354,,
C10,1,BB356,,
C11,1,BB357,,
C12,1,BB359,,
D1,1,BB360,,
D2,1,BB362,,
D3,1,BB366,,
D4,1,BB28,,
D5,1,BB360,,
D6,1,BB362,,
D7,1,BB366,,
D8,1,BB28,,
D9,1,BB360,,
D10,1,BB362,,
D11,1,BB366,,
D12,1,BB28,,
E1,1,BB411,,
E2,1,BB14,,
E3,1,BB17,,
E4,1,BB1,,
E5,1,BB411,,
E6,1,BB14,,
E7,1,BB17,,
E8,1,BB1,,
E9,1,BB411,,
E10,1,BB14,,
E11,1,BB17,,
E12,1,BB1,,
F1,1,blank,,
F2,1,JEB1208,,
F3,1,BB408,,
F4,1,blank,,
F5,1,blank,,
F6,1,JEB1208,,
F7,1,BB408,,
F8,1,blank,,
F9,1,blank,,
F10,1,JEB1208,,
F11,1,BB408,,
F12,1,blank,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,BB409,,
H3,1,BB7,,
H4,1,blank,,
H5,1,blank,,
H6,1,BB409,,
H7,1,BB7,,
H8,1,blank,,
H9,1,blank,,
H10,1,BB409,,
H11,1,BB7,,
H12,1,blank,,
