well ,include,strain,isolate,description
A1,1,blank,,
A2,1,BB521,,
A3,1,blank,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB521,,
A7,1,blank,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB521,,
A11,1,blank,,
A12,1,blank,,
B1,1,BB523,,
B2,1,BB524,,
B3,1,BB525,,
B4,1,BB526,,
B5,1,BB523,,
B6,1,BB524,,
B7,1,BB525,,
B8,1,BB526,,
B9,1,BB523,,
B10,1,BB524,,
B11,1,BB525,,
B12,1,BB526,,
C1,1,BB527,,
C2,1,BB528,,
C3,1,BB529,,
C4,1,BB530,,
C5,1,BB527,,
C6,1,BB528,,
C7,1,BB529,,
C8,1,BB530,,
C9,1,BB527,,
C10,1,BB528,,
C11,1,BB529,,
C12,1,BB530,,
D1,1,BB531,,
D2,1,BB532,,
D3,1,BB533,,
D4,1,BB534,,
D5,1,BB531,,
D6,1,BB532,,
D7,1,BB533,,
D8,1,BB534,,
D9,1,BB531,,
D10,1,BB532,,
D11,1,BB533,,
D12,1,BB534,,
E1,1,BB535,,
E2,1,BB536,,
E3,1,BB537,,
E4,1,BB538,,
E5,1,BB535,,
E6,1,BB536,,
E7,1,BB537,,
E8,1,BB538,,
E9,1,BB535,,
E10,1,BB536,,
E11,1,BB537,,
E12,1,BB538,,
F1,1,BB539,,
F2,1,BB540,,
F3,1,BB541,,
F4,1,BB542,,
F5,1,BB539,,
F6,1,BB540,,
F7,1,BB541,,
F8,1,BB542,,
F9,1,BB539,,
F10,1,BB540,,
F11,1,BB541,,
F12,1,BB542,,
G1,1,BB543,,
G2,1,JEB1204,,
G3,1,JEB1205,,
G4,1,JEB1206,,
G5,1,BB543,,
G6,1,JEB1204,,
G7,1,JEB1205,,
G8,1,JEB1206,,
G9,1,BB543,,
G10,1,JEB1204,,
G11,1,JEB1205,,
G12,1,JEB1206,,
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,
