experiment,strain,replicates,normalized.growth.rate.mean,normalized.growth.rate.sd,normalized.growth.rate.sem,normalized.growth.rate.95CI.range,normalized.GFP.rate.mean,normalized.GFP.rate.sd,normalized.GFP.rate.sem,normalized.GFP.rate.95CI.range,p.value,translational.burden.fraction.p.value,category,burden.mean,burden.sd,burden.sem,burden.95CI.range,burden.cv,translational.burden.fraction.mean,translational.burden.fraction.sd,translational.burden.fraction.sem,translational.burden.fraction.95CI.range
exp005,BB19,3,0.686661373,0.022128557,0.012775928,0.054970383,3.028806141,0.185269104,0.106965167,0.460233968,0.022829926,0.034315215,other burden,0.313338627,0.022128557,0.012775928,0.054970383,0.070621861,-6.474803823,0.591274385,0.040773551,0.175434429
exp005,BB21,3,1.027592234,0.034777218,0.020078636,0.086391399,1.014260669,0.027794095,0.016046928,0.069044361,0.999177152,0.942943882,no burden,-0.027592234,0.034777218,0.020078636,0.086391399,-1.260398794,0.516836352,-1.00731589,-0.727691583,-3.131004177
exp005,BB22,3,1.0020422,0.025991376,0.015006128,0.064566157,1.047106645,0.04536961,0.026194157,0.11270436,0.857122378,0.373487759,no burden,-0.0020422,0.025991376,0.015006128,0.064566157,-12.72714594,23.06661848,-22.21604801,-7.348021132,-31.61598318
exp005,BB23,3,0.915172201,0.04481079,0.025871522,0.111316173,1.260690714,0.083113149,0.047985399,0.206464508,0.160816231,0.056281708,no burden,0.084827799,0.04481079,0.025871522,0.111316173,0.528255953,-3.073175483,0.979786695,0.304988717,1.312260534
exp005,BB24,3,1.015271057,0.008315705,0.004801075,0.020657357,1.030419814,0.028652379,0.016542459,0.071176455,0.999177152,0.513993474,no burden,-0.015271057,0.008315705,0.004801075,0.020657357,-0.544540269,1.991991392,-1.876253825,-0.314390471,-1.352713018
exp005,BB25,3,1.012990795,0.027945669,0.01613444,0.069420891,0.997220435,0.047549696,0.02745283,0.118119993,0.997783483,0.935888463,no burden,-0.012990795,0.027945669,0.01613444,0.069420891,-2.151190059,-0.213964212,-3.66026064,-1.24199016,-5.34385235
exp005,BB72,4,0.992651975,0.027051582,0.013525791,0.043045104,0.951108555,0.067713132,0.033856566,0.107746703,0.592328282,0.999986208,no burden,0.007348025,0.027051582,0.013525791,0.043045104,3.681476521,6.653685061,9.215147055,1.84073826,5.858050676
exp005,BB73,3,1.012667555,0.027207424,0.015708213,0.067586987,0.942000069,0.040275345,0.023252981,0.100049503,0.997783483,0.999986208,no burden,-0.012667555,0.027207424,0.015708213,0.067586987,-2.147803782,-4.578620678,-3.179409377,-1.240035091,-5.335440371
exp005,BB74,3,1.002821368,0.026863473,0.015509634,0.066732567,0.93916718,0.034685709,0.020025804,0.086164078,0.862389243,0.999986208,no burden,-0.002821368,0.026863473,0.015509634,0.066732567,-9.521435817,-21.56146314,-12.29393344,-5.497203532,-23.65255778
exp005,BB75,2,0.948946206,0.07185919,0.050812121,0.645629209,1.080554672,0.122480536,0.086606818,1.100443956,0.52570986,0.449492971,no burden,0.051053794,0.07185919,0.050812121,0.645629209,1.407519093,-1.577839092,2.399048647,0.995266296,12.64605732
exp005,BB80,3,0.962187378,0.068518874,0.039559391,0.17021032,1.235668179,0.221282279,0.127757383,0.549695654,0.485107725,0.325471886,no burden,0.037812622,0.068518874,0.039559391,0.17021032,1.812063551,-6.232526763,5.85207443,1.046195379,4.501415403
exp005,BB81,3,0.975864606,0.056982158,0.032898664,0.141551528,1.071274914,0.044672973,0.025791953,0.110973817,0.543222028,0.259924201,no burden,0.024135394,0.056982158,0.032898664,0.141551528,2.360937587,-2.953128285,1.850932017,1.363087952,5.864894096
exp005,BB82,3,1.000809954,0.010339639,0.005969593,0.025685086,0.976782885,0.043345735,0.025025672,0.107676776,0.857122378,0.999986208,no burden,-0.000809954,0.010339639,0.005969593,0.025685086,-12.76571654,-28.66474565,-53.51631617,-7.370289878,-31.71179786
exp005,BB83,3,0.910470058,0.05790746,0.033432888,0.143850106,0.939678704,0.097689015,0.056400779,0.242672966,0.207819545,0.650729446,no burden,0.089529942,0.05790746,0.033432888,0.143850106,0.64679435,0.673755563,1.091132345,0.373426892,1.606726236
exp005,JEB1204,3,0.791348608,0.017233903,0.009949999,0.042811389,0.840517351,0.022655877,0.013080377,0.056280319,NA,NA,control,0.208651392,0.017233903,0.009949999,0.042811389,0.082596637,0.764349797,0.108582439,0.047687191,0.205181421
exp005,JEB1205,3,0.873375613,0.020035668,0.011567598,0.049771358,0.821558047,0.004560944,0.002633263,0.011330014,NA,NA,control,0.126624387,0.020035668,0.011567598,0.049771358,0.158229138,1.409222639,0.036019479,0.091353636,0.39306297
exp005,JEB1206,3,0.603983225,0.036887629,0.021297083,0.091633951,0.604670724,0.049958325,0.028843452,0.124103359,NA,NA,control,0.396016775,0.036887629,0.021297083,0.091633951,0.093146633,0.998263964,0.126152042,0.053778234,0.231389065
exp005,JEB1207,3,0.814625235,0.017267539,0.009969418,0.042894944,0.755086397,0.033337111,0.01924719,0.082813975,NA,NA,control,0.185374765,0.017267539,0.009969418,0.042894944,0.093149349,1.321180925,0.179836297,0.053779802,0.231395812
exp005,JEB1208,3,0.671251298,0.027932666,0.016126932,0.069388589,0.665837196,0.075275736,0.043460467,0.186995296,NA,NA,control,0.328748702,0.027932666,0.016126932,0.069388589,0.08496662,1.016468818,0.228976528,0.049055501,0.211068786
exp006,BB117,6,1.021161835,0.037932305,0.015485799,0.039807513,1.05810683,0.057555795,0.023497055,0.060401102,0.999177152,0.372922941,no burden,-0.021161835,0.037932305,0.015485799,0.039807513,-1.792486529,2.745831299,-2.719792194,-0.731779561,-1.881099248
exp006,BB118,6,0.94832404,0.138015321,0.056344519,0.144838197,1.10534082,0.103230714,0.042143763,0.108333991,0.464942737,0.195998188,no burden,0.05167596,0.138015321,0.056344519,0.144838197,2.670783893,-2.038487926,1.997654516,1.090342958,2.802815803
exp006,BB119,8,1.022232178,0.028031114,0.009910495,0.023434597,1.03923895,0.05965673,0.021091839,0.049874274,0.999177152,0.519805174,no burden,-0.022232178,0.028031114,0.009910495,0.023434597,-1.260835237,1.764962039,-2.683350652,-0.445772573,-1.054084637
exp006,BB120,6,0.989930863,0.016827737,0.006869895,0.017659627,1.012728254,0.06486757,0.026482074,0.068074339,0.296762556,0.500474105,no burden,0.010069137,0.016827737,0.006869895,0.017659627,1.671219438,-1.26408589,6.442217539,0.682272478,1.75383724
exp006,BB121,6,0.972704217,0.092010756,0.037563234,0.096559366,1.040325942,0.085882477,0.035061374,0.090128132,0.52570986,0.372922941,no burden,0.027295783,0.092010756,0.037563234,0.096559366,3.370878022,-1.47736894,3.146364271,1.37615519,3.537519535
exp006,BB123,6,0.974762409,0.03751799,0.015316655,0.039372715,0.977646291,0.080753819,0.032967608,0.084745936,0.25865068,0.782593651,no burden,0.025237591,0.03751799,0.015316655,0.039372715,1.486591563,0.885730682,3.199743557,0.606898464,1.560082168
exp006,BB124,6,0.861628522,0.067687798,0.027633428,0.071033987,0.964141577,0.087042622,0.035535002,0.09134563,0.032395248,0.187757543,significant,0.138371478,0.067687798,0.027633428,0.071033987,0.489174494,0.259146061,0.629050317,0.199704651,0.513357148
exp006,BB85,6,0.701749064,0.073126046,0.029853583,0.076741079,0.850432217,0.067258416,0.027458133,0.070583379,0.008865667,0.043042738,other burden,0.298250936,0.073126046,0.029853583,0.076741079,0.245182956,0.501483028,0.225509489,0.100095523,0.257303732
exp006,BB86,6,0.94314496,0.047331774,0.019323116,0.049671651,1.002103763,0.076896229,0.031392754,0.080697643,0.088406548,0.318704511,no burden,0.05685504,0.047331774,0.019323116,0.049671651,0.83249919,-0.037002224,1.352496266,0.339866371,0.87365432
exp006,BB87,6,0.810098354,0.009928778,0.004053407,0.010419614,0.882738833,0.031186845,0.012731976,0.032728587,1.73E-05,0.03385158,other burden,0.189901646,0.009928778,0.004053407,0.010419614,0.052283792,0.617483677,0.164226302,0.021344769,0.054868474
exp006,BB89,6,0.89576888,0.031182254,0.012730102,0.032723769,0.975245604,0.095658209,0.0390523,0.100387134,0.013040037,0.26775899,significant,0.10423112,0.031182254,0.012730102,0.032723769,0.299164532,0.237495251,0.917750952,0.122133409,0.313953922
exp006,BB90,3,0.901190447,0.014299536,0.008255841,0.035522017,0.96367526,0.07531176,0.043481265,0.187084784,0.041182201,0.419290867,significant,0.098809553,0.014299536,0.008255841,0.035522017,0.144718152,0.367623762,0.762191081,0.083553064,0.35949982
exp006,JEB1204,3,0.789513435,0.037755403,0.021798092,0.093789621,0.835207052,0.058316931,0.033669296,0.144867288,NA,NA,control,0.210486565,0.037755403,0.021798092,0.093789621,0.179372033,0.782914329,0.277057735,0.103560492,0.445584832
exp006,JEB1205,3,0.836468583,0.002498215,0.001442345,0.00620591,0.891318855,0.058216201,0.033611139,0.14461706,NA,NA,control,0.163531417,0.002498215,0.001442345,0.00620591,0.015276666,0.66458878,0.355993985,0.008819987,0.037949343
exp006,JEB1206,3,0.628141188,0.037940223,0.021904798,0.094248739,0.630863187,0.092024679,0.053130473,0.228601977,NA,NA,control,0.371858812,0.037940223,0.021904798,0.094248739,0.102028571,0.99268002,0.247472095,0.058906223,0.253453021
exp006,JEB1207,3,0.84714232,0.026358509,0.015218092,0.065478167,0.79350457,0.002714193,0.00156704,0.006742429,NA,NA,control,0.15285768,0.026358509,0.015218092,0.065478167,0.17243824,1.350899937,0.01775634,0.099557264,0.428360334
exp006,JEB1208,3,0.649287264,0.019363789,0.011179689,0.048102319,0.606684322,0.046662432,0.026940568,0.115915907,NA,NA,control,0.350712736,0.019363789,0.011179689,0.048102319,0.055212678,1.121475322,0.133050292,0.031877054,0.137155895
exp008,BB150,3,1.003114942,0.026616158,0.015366846,0.066118202,1.045277088,0.030577966,0.017654197,0.075959879,0.862465774,0.318704511,no burden,-0.003114942,0.026616158,0.015366846,0.066118202,-8.54467179,14.53545075,-9.816543963,-4.933268558,-21.22614143
exp008,BB151,3,0.978197654,0.024915231,0.014384816,0.061892866,1.015475121,0.013870961,0.008008403,0.034457376,0.355816814,0.26775899,no burden,0.021802346,0.024915231,0.014384816,0.061892866,1.142777518,-0.709791549,0.63621412,0.659782908,2.83881673
exp008,BB152,3,1.017624832,0.021486902,0.012405468,0.053376423,1.029609648,0.076343495,0.044076938,0.189647756,0.999177152,0.731375404,no burden,-0.017624832,0.021486902,0.012405468,0.053376423,-1.219126595,1.679996023,-4.331587072,-0.703863068,-3.028478349
exp008,BB153,3,0.977080437,0.03566076,0.020588749,0.088586239,1.012866126,0.023458993,0.013544056,0.058275369,0.457995104,0.376326596,no burden,0.022919563,0.03566076,0.020588749,0.088586239,1.555909239,-0.56136001,1.023535781,0.898304618,3.865092817
exp008,BB154,3,0.943549824,0.009280649,0.005358185,0.023054411,0.836092216,0.039382632,0.022737573,0.097831882,0.04830811,0.999986208,significant,0.056450176,0.009280649,0.005358185,0.023054411,0.16440426,2.903583218,0.697652954,0.094918844,0.408402823
