well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB159,,
A3,1,blank,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB159,,
A7,1,blank,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB159,,
A11,1,blank,,
A12,1,blank,,
B1,1,BB158,,
B2,1,BB157,,
B3,1,BB132,,
B4,1,blank,,
B5,1,BB158,,
B6,1,BB157,,
B7,1,BB132,,
B8,1,blank,,
B9,1,BB158,,
B10,1,BB157,,
B11,1,BB132,,
B12,1,blank,,
C1,1,BB149,,
C2,1,BB148,,
C3,1,BB147,,
C4,1,JEB1208,,
C5,1,BB149,,
C6,1,BB148,,
C7,1,BB147,,
C8,1,JEB1208,,
C9,1,BB149,,
C10,1,BB148,,
C11,1,BB147,,
C12,1,JEB1208,,
D1,1,BB146,,
D2,1,BB145,,
D3,1,BB144,,
D4,1,JEB1204,,
D5,1,BB146,,
D6,1,BB145,,
D7,1,BB144,,
D8,1,JEB1204,,
D9,1,BB146,,
D10,1,BB145,,
D11,1,BB144,,
D12,1,JEB1204,,
E1,1,BB143,,
E2,1,BB142,,
E3,1,BB141,,
E4,1,JEB1205,,
E5,1,BB143,,
E6,1,BB142,,
E7,1,BB141,,
E8,1,JEB1205,,
E9,1,BB143,,
E10,1,BB142,,
E11,1,BB141,,
E12,1,JEB1205,,
F1,1,BB140,,
F2,1,BB139,,
F3,1,BB138,,
F4,1,JEB1206,,
F5,1,BB140,,
F6,1,BB139,,
F7,1,BB138,,
F8,1,JEB1206,,
F9,1,BB140,,
F10,1,BB139,,
F11,1,BB138,,
F12,1,JEB1206,,
G1,1,BB137,,
G2,1,BB136,,
G3,1,BB134,,
G4,1,blank,,
G5,1,BB137,,
G6,1,BB136,,
G7,1,BB134,,
G8,1,blank,,
G9,1,BB137,,
G10,1,BB136,,
G11,1,BB134,,
G12,1,blank,,
H1,1,blank,,
H2,1,BB133,,
H3,1,blank,,
H4,1,JEB1207,,
H5,1,blank,,
H6,1,BB133,,
H7,1,blank,,
H8,1,JEB1207,,
H9,1,blank,,
H10,1,BB133,,
H11,1,blank,,
H12,1,JEB1207,,
