well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB150,,
A3,1,BB151,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB150,,
A7,1,BB151,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB150,,
A11,1,BB151,,
A12,1,blank,,
B1,1,BB152,,
B2,1,BB153,,
B3,1,JEB1204,,
B4,1,blank,,
B5,1,BB152,,
B6,1,BB153,,
B7,1,JEB1204,,
B8,1,blank,,
B9,1,BB152,,
B10,1,BB153,,
B11,1,JEB1204,,
B12,1,blank,,
C1,1,BB154,,
C2,1,blank,,
C3,1,BB155,,
C4,1,JEB1205,,
C5,1,BB154,,
C6,1,blank,,
C7,1,BB155,,
C8,1,JEB1205,,
C9,1,BB154,,
C10,1,blank,,
C11,1,BB155,,
C12,1,JEB1205,,
D1,1,BB156,,
D2,1,blank,,
D3,1,JEB1206,,
D4,1,blank,,
D5,1,BB156,,
D6,1,blank,,
D7,1,JEB1206,,
D8,1,blank,,
D9,1,BB156,,
D10,1,blank,,
D11,1,JEB1206,,
D12,1,blank,,
E1,1,blank,,
E2,1,JEB1207,,
E3,1,blank,,
E4,1,blank,,
E5,1,blank,,
E6,1,JEB1207,,
E7,1,blank,,
E8,1,blank,,
E9,1,blank,,
E10,1,JEB1207,,
E11,1,blank,,
E12,1,blank,,
F1,1,JEB1208,,
F2,1,blank,,
F3,1,blank,,
F4,1,blank,,
F5,1,JEB1208,,
F6,1,blank,,
F7,1,blank,,
F8,1,blank,,
F9,1,JEB1208,,
F10,1,blank,,
F11,1,blank,,
F12,1,blank,,
G1,1,blank,,
G2,1,blank,,
G3,1,blank,,
G4,1,BB164,,
G5,1,blank,,
G6,1,blank,,
G7,1,blank,,
G8,1,BB164,,
G9,1,blank,,
G10,1,blank,,
G11,1,blank,,
G12,1,BB164,,
H1,1,blank,,
H2,1,BB165,,
H3,1,blank,,
H4,1,blank,,
H5,1,blank,,
H6,1,BB165,,
H7,1,blank,,
H8,1,blank,,
H9,1,blank,,
H10,1,BB165,,
H11,1,blank,,
H12,1,blank,,
