well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB105,1,
A3,1,BB111,2,
A4,1,blank,,
A5,1,blank,,
A6,1,BB105,1,
A7,1,BB111,2,
A8,1,blank,,
A9,1,blank,,
A10,1,BB105,1,
A11,1,BB111,2,
A12,1,blank,,
B1,1,BB107,3,
B2,1,BB108,4,
B3,1,BB109,5,
B4,1,BB110,6,
B5,1,BB107,3,
B6,1,BB108,4,
B7,1,BB109,5,
B8,1,BB110,6,
B9,1,BB107,3,
B10,1,BB108,4,
B11,1,BB109,5,
B12,1,BB110,6,
C1,1,BB106,7,
C2,1,BB112,8,
C3,1,BB113,9,
C4,1,BB114,10,
C5,1,BB106,7,
C6,1,BB112,8,
C7,1,BB113,9,
C8,1,BB114,10,
C9,1,BB106,7,
C10,1,BB112,8,
C11,1,BB113,9,
C12,1,BB114,10,
D1,1,BB127,11,
D2,1,BB128,12,
D3,1,BB129,13,
D4,1,BB130,14,
D5,1,BB127,11,
D6,1,BB128,12,
D7,1,BB129,13,
D8,1,BB130,14,
D9,1,BB127,11,
D10,1,BB128,12,
D11,1,BB129,13,
D12,1,BB130,14,
E1,1,BB131,15,
E2,1,BB105,1,
E3,1,BB111,2,
E4,1,BB107,3,
E5,1,BB131,15,
E6,1,BB105,1,
E7,1,BB111,2,
E8,1,BB107,3,
E9,1,BB131,15,
E10,1,BB105,1,
E11,1,BB111,2,
E12,1,BB107,3,
F1,1,blank,,
F2,1,JEB1208,S1,
F3,1,BB113,9,
F4,1,blank,,
F5,1,blank,,
F6,1,JEB1208,S1,
F7,1,BB113,9,
F8,1,blank,,
F9,1,blank,,
F10,1,JEB1208,S1,
F11,1,BB113,9,
F12,1,blank,,
G1,1,JEB1204,S2,
G2,1,JEB1205,S3,
G3,1,JEB1206,S4,
G4,1,JEB1207,S5,
G5,1,JEB1204,S2,
G6,1,JEB1205,S3,
G7,1,JEB1206,S4,
G8,1,JEB1207,S5,
G9,1,JEB1204,S2,
G10,1,JEB1205,S3,
G11,1,JEB1206,S4,
G12,1,JEB1207,S5,
H1,1,blank,,
H2,1,JEB1208,S1,
H3,1,BB113,9,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1208,S1,
H7,1,BB113,9,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1208,S1,
H11,1,BB113,9,
H12,1,blank,,
