well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB446,,
A3,1,BB550,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB446,,
A7,1,BB550,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB446,,
A11,1,BB550,,
A12,1,blank,,
B1,1,BB252,,
B2,1,BB298,,
B3,1,BB251,,
B4,1,BB255,,
B5,1,BB252,,
B6,1,BB298,,
B7,1,BB251,,
B8,1,BB255,,
B9,1,BB252,,
B10,1,BB298,,
B11,0,BB251,,well is blank
B12,1,BB255,,
C1,1,BB256,,
C2,1,BB551,,
C3,1,BB258,,
C4,1,BB259,,
C5,1,BB256,,
C6,1,BB551,,
C7,1,BB258,,
C8,1,BB259,,
C9,1,BB256,,
C10,1,BB551,,
C11,1,BB258,,
C12,1,BB259,,
D1,1,BB260,,
D2,1,BB261,,
D3,1,BB262,,
D4,1,BB263,,
D5,1,BB260,,
D6,1,BB261,,
D7,1,BB262,,
D8,1,BB263,,
D9,1,BB260,,
D10,1,BB261,,
D11,1,BB262,,
D12,1,BB263,,
E1,1,BB264,,
E2,1,BB265,,
E3,1,BB266,,
E4,1,BB267,,
E5,1,BB264,,
E6,1,BB265,,
E7,1,BB266,,
E8,1,BB267,,
E9,1,BB264,,
E10,1,BB265,,
E11,1,BB266,,
E12,1,BB267,,
F1,1,BB268,,
F2,1,BB269,,
F3,1,BB294,,
F4,1,BB296,,
F5,1,BB268,,
F6,1,BB269,,
F7,1,BB294,,
F8,1,BB296,,
F9,0,BB268,,well is blank
F10,1,BB269,,
F11,1,BB294,,
F12,1,BB296,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,JEB1208,,
H3,1,BB426,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1208,,
H7,1,BB426,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1208,,
H11,1,BB426,,
H12,1,blank,,
