well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB232,,
A3,1,BB233,,
A4,1,BB234,,
A5,1,blank,,
A6,1,BB232,,
A7,1,BB233,,
A8,1,BB234,,
A9,1,blank,,
A10,1,BB232,,
A11,1,BB233,,
A12,1,blank,,
B1,1,BB234,,
B2,1,BB235,,
B3,1,BB236,,
B4,1,BB237,,
B5,1,BB234,,
B6,1,BB235,,
B7,1,BB236,,
B8,1,BB237,,
B9,1,BB234,,
B10,1,BB235,,
B11,1,BB236,,
B12,1,BB237,,
C1,1,BB194,,
C2,1,BB195,,
C3,1,BB196,,
C4,1,BB197,,
C5,1,BB194,,
C6,1,BB195,,
C7,1,BB196,,
C8,1,BB197,,
C9,1,BB194,,
C10,1,BB195,,
C11,1,BB196,,
C12,1,BB197,,
D1,1,BB198,,
D2,1,BB199,,
D3,1,BB201,,
D4,1,BB202,,
D5,1,BB198,,
D6,1,BB199,,
D7,1,BB201,,
D8,1,BB202,,
D9,1,BB198,,
D10,1,BB199,,
D11,1,BB201,,
D12,1,BB202,,
E1,1,BB203,,
E2,1,BB224,,
E3,1,BB225,,
E4,1,BB226,,
E5,1,BB203,,
E6,1,BB224,,
E7,1,BB225,,
E8,1,BB226,,
E9,1,BB203,,
E10,1,BB224,,
E11,1,BB225,,
E12,1,BB226,,
F1,1,BB227,,
F2,1,BB228,,
F3,1,BB230,,
F4,1,BB231,,
F5,1,BB227,,
F6,1,BB223,,
F7,1,BB230,,
F8,1,BB231,,
F9,1,BB227,,
F10,1,BB228,,
F11,1,BB230,,
F12,1,BB231,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,JEB1208,,
H3,1,BB232,,
H4,1,BB233,,
H5,1,blank,,
H6,1,JEB1208,,
H7,1,BB232,,
H8,1,BB233,,
H9,1,blank,,
H10,1,JEB1208,,
H11,1,BB232,,
H12,1,BB233,,
