well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB550,,
A3,1,BB551,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB550,,
A7,1,BB551,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB550,,
A11,1,BB551,,
A12,1,blank,,
B1,1,BB552,,
B2,0,BB553,,outlier
B3,1,BB554,,
B4,1,BB555,,
B5,1,BB552,,
B6,1,BB553,,
B7,1,BB554,,
B8,1,BB555,,
B9,1,BB552,,
B10,1,BB553,,
B11,1,BB554,,
B12,1,BB555,,
C1,1,BB556,,
C2,1,BB557,,
C3,1,BB558,,
C4,1,BB575,,
C5,1,BB556,,
C6,1,BB557,,
C7,1,BB558,,
C8,1,BB575,,
C9,0,BB556,,outlier
C10,1,BB557,,
C11,1,BB558,,
C12,1,BB575,,
D1,1,BB576,,
D2,1,BB577,,
D3,1,BB578,,
D4,1,BB579,,
D5,1,BB576,,
D6,1,BB577,,
D7,1,BB578,,
D8,1,BB579,,
D9,1,BB576,,
D10,1,BB577,,
D11,1,BB578,,
D12,1,BB579,,
E1,1,BB580,,
E2,1,BB581,,
E3,1,BB582,,
E4,1,BB583,,
E5,1,BB580,,
E6,1,BB581,,
E7,1,BB582,,
E8,1,BB583,,
E9,1,BB580,,
E10,1,BB581,,
E11,1,BB582,,
E12,1,BB583,,
F1,1,BB584,,
F2,0,BB585,,"outlier, wrong shape curve"
F3,1,BB586,,
F4,1,BB587,,
F5,1,BB584,,
F6,1,BB585,,
F7,1,BB586,,
F8,1,BB587,,
F9,1,BB584,,
F10,1,BB585,,
F11,1,BB586,,
F12,1,BB587,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,JEB1208,,
H3,1,BB588,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1208,,
H7,1,BB588,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1208,,
H11,1,BB588,,
H12,1,blank,,
