well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB526,,
A3,1,BB527,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB526,,
A7,1,BB527,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB526,,
A11,1,BB527,,
A12,1,blank,,
B1,1,BB528,,
B2,1,BB529,,
B3,1,BB530,,
B4,1,BB531,,
B5,1,BB528,,
B6,1,BB529,,
B7,1,BB530,,
B8,1,BB531,,
B9,1,BB528,,
B10,1,BB529,,
B11,1,BB530,,
B12,1,BB531,,
C1,1,BB532,,
C2,1,BB533,,
C3,1,BB534,,
C4,1,BB535,,
C5,1,BB532,,
C6,1,BB533,,
C7,1,BB534,,
C8,1,BB535,,
C9,1,BB532,,
C10,1,BB533,,
C11,1,BB534,,
C12,1,BB535,,
D1,1,BB536,,
D2,1,BB537,,
D3,1,BB538,,
D4,1,BB539,,
D5,1,BB536,,
D6,1,BB537,,
D7,1,BB538,,
D8,1,BB539,,
D9,1,BB536,,
D10,1,BB537,,
D11,1,BB538,,
D12,1,BB539,,
E1,1,BB540,,
E2,1,BB541,,
E3,1,BB542,,
E4,1,BB543,,
E5,1,BB540,,
E6,1,BB541,,
E7,1,BB542,,
E8,1,BB543,,
E9,1,BB540,,
E10,1,BB541,,
E11,1,BB542,,
E12,1,BB543,,
F1,1,blank,,
F2,1,JEB1204,,
F3,1,BB544,,
F4,1,blank,,
F5,1,blank,,
F6,1,JEB1204,,
F7,1,BB544,,
F8,1,blank,,
F9,1,blank,,
F10,1,JEB1204,,
F11,1,BB544,,
F12,1,blank,,
G1,1,JEB1205,,
G2,1,JEB1206,,
G3,1,JEB1207,,
G4,1,JEB1208,,
G5,1,JEB1205,,
G6,1,JEB1206,,
G7,1,JEB1207,,
G8,1,JEB1208,,
G9,1,JEB1205,,
G10,1,JEB1206,,
G11,1,JEB1207,,
G12,1,JEB1208,,
H1,1,blank,,
H2,1,JEB1204,,
H3,1,BB544,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1204,,
H7,1,BB544,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1204,,
H11,1,BB544,,
H12,1,blank,,
