well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB231,,
A3,1,BB228,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB231,,
A7,1,BB228,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB231,,
A11,1,BB228,,
A12,1,blank,,
B1,1,BB323,,
B2,1,BB339,,
B3,1,BB338,,
B4,1,BB340,,
B5,1,BB323,,
B6,1,BB339,,
B7,1,BB338,,
B8,1,BB340,,
B9,1,BB323,,
B10,1,BB339,,
B11,1,BB338,,
B12,1,BB340,,
C1,1,BB345,,
C2,1,BB346,,
C3,1,BB16,,
C4,1,BB20,,
C5,1,BB345,,
C6,1,BB346,,
C7,1,BB16,,
C8,1,BB20,,
C9,1,BB345,,
C10,1,BB346,,
C11,1,BB16,,
C12,1,BB20,,
D1,1,BB15,,
D2,1,BB226,,
D3,1,BB6,,
D4,1,BB238,,
D5,1,BB15,,
D6,1,BB226,,
D7,1,BB6,,
D8,1,BB238,,
D9,1,BB15,,
D10,1,BB226,,
D11,1,BB6,,
D12,1,BB238,,
E1,1,BB230,,
E2,1,BB19,,
E3,1,BB5,,
E4,1,BB2,,
E5,1,BB230,,
E6,1,BB19,,
E7,1,BB5,,
E8,1,BB2,,
E9,1,BB230,,
E10,1,BB19,,
E11,1,BB5,,
E12,1,BB2,,
F1,1,BB241,,
F2,1,JEB1208,,
F3,1,BB239,,
F4,1,BB8,,
F5,1,BB241,,
F6,1,JEB1208,,
F7,1,BB239,,
F8,1,BB8,,
F9,1,BB241,,
F10,1,JEB1208,,
F11,1,BB239,,
F12,1,BB8,,
G1,1,JEB1204,,
G2,1,JEB1205,,
G3,1,JEB1206,,
G4,1,JEB1207,,
G5,1,JEB1204,,
G6,1,JEB1205,,
G7,1,JEB1206,,
G8,1,JEB1207,,
G9,1,JEB1204,,
G10,1,JEB1205,,
G11,1,JEB1206,,
G12,1,JEB1207,,
H1,1,blank,,
H2,1,BB13,,
H3,1,BB3,,
H4,1,blank,,
H5,1,blank,,
H6,1,BB13,,
H7,1,BB3,,
H8,1,blank,,
H9,1,blank,,
H10,1,BB13,,
H11,1,BB3,,
H12,1,blank,,
