well,include,strain,isolate,description
A1,1,blank,,
A2,1,BB2,,
A3,1,BB5,,
A4,1,blank,,
A5,1,blank,,
A6,1,BB2,,
A7,1,BB5,,
A8,1,blank,,
A9,1,blank,,
A10,1,BB2,,
A11,1,BB5,,
A12,1,blank,,
B1,1,BB6,,
B2,1,BB8,,
B3,1,BB15,,
B4,1,BB16,,
B5,1,BB6,,
B6,1,BB8,,
B7,1,BB15,,
B8,1,BB16,,
B9,1,BB6,,
B10,1,BB8,,
B11,1,BB15,,
B12,1,BB16,,
C1,1,BB18,,
C2,1,BB19,,
C3,1,BB20,,
C4,1,BB32,,
C5,1,BB18,,
C6,1,BB19,,
C7,1,BB20,,
C8,1,BB32,,
C9,1,BB18,,
C10,1,BB19,,
C11,1,BB20,,
C12,1,BB32,,
D1,1,BB33,,
D2,1,BB34,,
D3,1,BB35,,
D4,1,BB36,,
D5,1,BB33,,
D6,1,BB34,,
D7,1,BB35,,
D8,1,BB36,,
D9,1,BB33,,
D10,1,BB34,,
D11,1,BB35,,
D12,1,BB36,,
E1,1,BB37,,
E2,1,BB38,,
E3,1,BB40,,
E4,1,BB41,,
E5,1,BB37,,
E6,1,BB38,,
E7,1,BB40,,
E8,1,BB41,,
E9,1,BB37,,
E10,1,BB38,,
E11,1,BB40,,
E12,1,BB41,,
F1,1,BB42,,
F2,1,BB43,,
F3,1,BB44,,
F4,1,blank,,
F5,1,BB42,,
F6,1,BB43,,
F7,1,BB44,,
F8,1,blank,,
F9,1,BB42,,
F10,1,BB43,,
F11,1,BB44,,
F12,1,blank,,
G1,1,blank,,
G2,1,JEB1204,,
G3,1,JEB1205,,
G4,1,JEB1206,,
G5,1,blank,,
G6,1,JEB1204,,
G7,1,JEB1205,,
G8,1,JEB1206,,
G9,1,blank,,
G10,1,JEB1204,,
G11,1,JEB1205,,
G12,1,JEB1206,,
H1,1,blank,,
H2,1,JEB1207,,
H3,1,JEB1208,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1207,,
H7,1,JEB1208,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1207,,
H11,1,JEB1208,,
H12,1,blank,,
