well,include,strain,isolate,description
A1,1,blank,,
A2,1,JEB1203,,
A3,1,JEB1204,,
A4,1,blank,,
A5,1,blank,,
A6,1,JEB1203,,
A7,1,JEB1204,,
A8,1,blank,,
A9,1,blank,,
A10,1,JEB1203,,
A11,1,JEB1204,,
A12,1,blank,,
B1,1,JEB1205,,
B2,1,JEB1206,,
B3,1,JEB1207,,
B4,1,JEB1208,,
B5,1,JEB1205,,
B6,1,JEB1206,,
B7,1,JEB1207,,
B8,1,JEB1208,,
B9,1,JEB1205,,
B10,1,JEB1206,,
B11,1,JEB1207,,
B12,1,JEB1208,,
C1,1,JEB1303,,
C2,1,JEB1304,,
C3,1,JEB1305,,
C4,1,JEB1306,,
C5,1,JEB1303,,
C6,1,JEB1304,,
C7,1,JEB1305,,
C8,1,JEB1306,,
C9,1,JEB1303,,
C10,1,JEB1304,,
C11,1,JEB1305,,
C12,1,JEB1306,,
D1,1,JEB1307,,
D2,1,JEB1308,,
D3,1,BB0,,
D4,1,JEB1203,,
D5,1,JEB1307,,
D6,1,JEB1308,,
D7,1,BB0,,
D8,1,JEB1203,,
D9,1,JEB1307,,
D10,1,JEB1308,,
D11,1,BB0,,
D12,1,JEB1203,,
E1,1,JEB1204,,
E2,1,JEB1205,,
E3,1,JEB1206,,
E4,1,JEB1207,,
E5,1,JEB1204,,
E6,1,JEB1205,,
E7,1,JEB1206,,
E8,1,JEB1207,,
E9,1,JEB1204,,
E10,1,JEB1205,,
E11,1,JEB1206,,
E12,1,JEB1207,,
F1,1,blank,,
F2,1,JEB1208,,
F3,1,BB0,,
F4,1,blank,,
F5,1,blank,,
F6,1,JEB1208,,
F7,1,BB0,,
F8,1,blank,,
F9,1,blank,,
F10,1,JEB1208,,
F11,1,BB0,,
F12,1,blank,,
G1,1,JEB1303,,
G2,1,JEB1304,,
G3,1,JEB1305,,
G4,1,JEB1308,,
G5,1,JEB1303,,
G6,1,JEB1304,,
G7,1,JEB1305,,
G8,1,JEB1308,,
G9,1,JEB1303,,
G10,1,JEB1304,,
G11,1,JEB1305,,
G12,1,JEB1308,,
H1,1,blank,,
H2,1,JEB1306,,
H3,1,JEB1307,,
H4,1,blank,,
H5,1,blank,,
H6,1,JEB1306,,
H7,1,JEB1307,,
H8,1,blank,,
H9,1,blank,,
H10,1,JEB1306,,
H11,1,JEB1307,,
H12,1,blank,,
