well,include,strain,isolate,description
A1,1,blank,B,
A2,1,BB384,N1,
A3,1,BB385,N2,
A4,1,blank,B,
A5,1,blank,B,
A6,1,BB384,N1,
A7,1,BB385,N2,
A8,1,blank,B,
A9,1,blank,B,
A10,1,BB384,N1,
A11,1,BB385,N2,
A12,1,blank,B,
B1,1,BB386,N3,
B2,1,BB387,N4,
B3,1,BB388,N5,
B4,1,BB389,N6,
B5,1,BB386,N3,
B6,1,BB387,N4,
B7,1,BB388,N5,
B8,1,BB389,N6,
B9,1,BB386,N3,
B10,1,BB387,N4,
B11,1,BB388,N5,
B12,1,BB389,N6,
C1,1,BB390,N7,
C2,1,BB391,N8,
C3,1,BB392,N9,
C4,1,BB393,N10,
C5,1,BB390,N7,
C6,1,BB391,N8,
C7,1,BB392,N9,
C8,1,BB393,N10,
C9,1,BB390,N7,
C10,1,BB391,N8,
C11,1,BB392,N9,
C12,1,BB393,N10,
D1,1,BB394,N11,
D2,1,BB395,N12,
D3,1,BB396,N13,
D4,1,BB397,N14,
D5,1,BB394,N11,
D6,1,BB395,N12,
D7,1,BB396,N13,
D8,1,BB397,N14,
D9,1,BB394,N11,
D10,1,BB395,N12,
D11,1,BB396,N13,
D12,1,BB397,N14,
E1,1,BB398,N15,
E2,1,BB399,N16,
E3,1,BB400,N17,
E4,1,BB401,N18,
E5,1,BB398,N15,
E6,1,BB399,N16,
E7,1,BB400,N17,
E8,1,BB401,N18,
E9,1,BB398,N15,
E10,1,BB399,N16,
E11,1,BB400,N17,
E12,1,BB401,N18,
F1,1,BB402,N19,
F2,1,BB403,N20,
F3,1,BB404,N21,
F4,1,BB405,N22,
F5,1,BB402,N19,
F6,1,BB403,N20,
F7,1,BB404,N21,
F8,1,BB405,N22,
F9,1,BB402,N19,
F10,1,BB403,N20,
F11,1,BB404,N21,
F12,1,BB405,N22,
G1,1,JEB1204,S1,
G2,1,JEB1205,S2,
G3,1,JEB1206,S3,
G4,1,BB418,S4,
G5,1,JEB1204,S1,
G6,1,JEB1205,S2,
G7,1,JEB1206,S3,
G8,1,BB418,S4,
G9,1,JEB1204,S1,
G10,1,JEB1205,S2,
G11,1,JEB1206,S3,
G12,1,BB418,S4,
H1,1,blank,B,
H2,1,JEB1207,S5,
H3,1,JEB1208,N23,
H4,1,blank,B,
H5,1,blank,B,
H6,1,JEB1207,S5,
H7,1,JEB1208,N23,
H8,1,blank,B,
H9,1,blank,B,
H10,1,JEB1207,S5,
H11,1,JEB1208,N23,
H12,1,blank,B,
