well,include,strain,isolate,Day
A1,1,EV106,A,7
A2,1,EV106,A,7
A3,1,EV106,A,7
A4,1,EV106,A,7
A5,1,EV106,A,7
A6,1,EV106,A,7
A7,1,EV106,B,7
A8,1,EV106,B,7
A9,1,EV106,B,7
A10,1,EV106,B,7
A11,1,EV106,B,7
A12,1,EV106,B,7
B1,1,EV106,C,7
B2,1,EV106,C,7
B3,1,EV106,C,7
B4,1,EV106,C,7
B5,1,EV106,C,7
B6,1,EV106,C,7
B7,1,EV112,A,7
B8,1,EV112,A,7
B9,1,EV112,A,7
B10,1,EV112,A,7
B11,1,EV112,A,7
B12,1,EV112,A,7
C1,1,EV112,B,7
C2,1,EV112,B,7
C3,1,EV112,B,7
C4,1,EV112,B,7
C5,1,EV112,B,7
C6,1,EV112,B,7
C7,1,EV112,C,7
C8,1,EV112,C,7
C9,1,EV112,C,7
C10,1,EV112,C,7
C11,1,EV112,C,7
C12,1,EV112,C,7
D1,1,EV373,A,7
D2,1,EV373,A,7
D3,1,EV373,A,7
D4,1,EV373,A,7
D5,1,EV373,A,7
D6,1,EV373,A,7
D7,1,EV373,B,7
D8,1,EV373,B,7
D9,1,EV373,B,7
D10,1,EV373,B,7
D11,1,EV373,B,7
D12,1,EV373,B,7
E1,1,EV373,C,7
E2,1,EV373,C,7
E3,1,EV373,C,7
E4,1,EV373,C,7
E5,1,EV373,C,7
E6,1,EV373,C,7
E7,1,EV109,A,7
E8,1,EV109,A,7
E9,1,EV109,A,7
E10,1,EV109,A,7
E11,1,EV109,A,7
E12,1,EV109,A,7
F1,1,EV109,B,7
F2,1,EV109,B,7
F3,1,EV109,B,7
F4,1,EV109,B,7
F5,1,EV109,B,7
F6,1,EV109,B,7
F7,1,EV109,C,7
F8,1,EV109,C,7
F9,1,EV109,C,7
F10,1,EV109,C,7
F11,1,EV109,C,7
F12,1,EV109,C,7
G1,1,EV127,A,7
G2,1,EV127,A,7
G3,1,EV127,A,7
G4,1,EV127,A,7
G5,1,EV127,A,7
G6,1,EV127,A,7
G7,1,EV127,B,7
G8,1,EV127,B,7
G9,1,EV127,B,7
G10,1,EV127,B,7
G11,1,EV127,B,7
G12,1,EV127,B,7
H1,1,blank,,7
H2,1,blank,,7
H3,1,EV127,C,7
H4,1,EV127,C,7
H5,1,EV127,C,7
H6,1,EV127,C,7
H7,1,EV127,C,7
H8,1,EV127,C,7
H9,1,blank,,7
H10,1,blank,,7
H11,1,blank,,7
H12,1,blank,,7
